id,text,cleaned_text_with_stop_words_removal,label
1806885306072764545,"""The cable car is not development, despite what the government says. It will benefit the investors, not the community"" says an activist from Nepal. \n\nhttps://t.co/DMDenYjKSz\n\nMarty Logan reports on why the indigenous groups of Nepal are opposing the cable car project.",cabl car develop despit govern say benefit investor commun say activist nepal nn logan report indigen group nepal oppos cabl car project,positive
1806799594032087279,@NindaTurtles Wtf nepal government is doing,wtf nepal govern,negative
1806752832902586495,"@bi_fella Nepal used to be a constitutional monarchy at a certain point. One secret about constitutional monarchies is that they're powerless for most of the time, but if the country falls into chirsis, the united bourgeoisie will use them to coup the democratic government.",nepal use constitut monarchi certain point one secret constitut monarchi theyr powerless time countri fall chirsi unit bourgeoisi use coup democrat govern,positive
1806742927915524412,"The screening was followed by a panel discussion featuring Ms. Rabina Maharjan (Principal, Manamaiju Secondary School), Dr. Anup Subedee (Public Health Expert), Mr. Sharada Trital (Former Secretary, Government of Nepal), and Ms. Devika Thapa (Research Lead, Prison Reform, IIDS).",screen follow panel discuss featur ms rabina maharjan princip manamaiju secondari school dr anup subede public health expert mr sharada trital former secretari govern nepal ms devika thapa research lead prison reform iid,negative
1806708404460679297,\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 \xf0\x9f\x87\xb3\xf0\x9f\x87\xb5 Indian aid supports construction of dormitory at Monastic School in Nepal.\n\nThe dormitory is being built with the Government of India\xe2\x80\x99s financial assistance at the project cost of NRs 41.40 million under \xe2\x80\x98Nepal-India Development Cooperation\xe2\x80\x99. https://t.co/WqFfmSd1gi,xf0x9fx87xaexf0x9fx87xb3 xf0x9fx87xb3xf0x9fx87xb5 indian aid support construct dormitori monast school nepalnnth dormitori built govern indiaxe2x80x99 financi assist project cost nr 4140 million xe2x80x98nepalindia develop cooperationxe2x80x99,positive
1806679925883289891,NEPAL Education sector SEE results 2080 . if this type of activities running for some years then student of Nepal what do they .Nepal government please focus on education sector and change this . https://t.co/bvYERMa5Mx,nepal educ sector see result 2080 type activ run year student nepal nepal govern pleas focu educ sector chang,positive
1806669148954796345,Pure Dictatorship by Nepal Government on Consumer Rights: \n\nhttps://t.co/QRdNOkjlyt,pure dictatorship nepal govern consum right nn,neutral
1807112470659514445,@BhismaK62 Sir I find it hard to understand your tweets. Be it on politics of Nepal or the Government of Nepal or the situations that confront you every day.,sir find hard understand tweet polit nepal govern nepal situat confront everi day,negative
1807097693191200949,@Jhakri_didi First learn how to use the word grand finale not grand finally yesta mujiharule desh banaune re ..!!!! Fuck your name leave the politics and accept your own profession \xf0\x9f\x98\xa1\xf0\x9f\xa4\x94\xf0\x9f\x98\xa1\xf0\x9f\xa4\x94\xf0\x9f\x98\xa1,first learn use word grand final grand final yesta mujiharul desh banaun fuck name leav polit accept profess xf0x9fx98xa1xf0x9fxa4x94xf0x9fx98xa1xf0x9fxa4x94xf0x9fx98xa1,negative
1807037188485398631,@ANI Does ho know demography of Nepal and how that nation is called now? Does he know content of preamble of constitution? If not better hang boots of politics and retire.,ho know demographi nepal nation call know content preambl constitut better hang boot polit retir,negative
1806988757448770026,"@MrRshahi Girija babu is one of the biggest mistakes for Nepal .. he ruined NC by kicking out the most respected &amp; honest leaders, he left Nepal in ruin by doing dirty politics .. we pity on people who take him as their political idol \xf0\x9f\x98\xb1.. @thapagk @bishwaprakash77 don\xe2\x80\x99t be GP koirala !!",girija babu one biggest mistak nepal ruin nc kick respect amp honest leader left nepal ruin dirti polit piti peopl take polit idol xf0x9fx98xb1 donxe2x80x99t gp koirala,negative
1806969460416544842,"@FirdoseM It is a good read. A not so well nation brought together by sports. Similar story here in Nepal, messy politics, not so well functioning board. Unlike SA, cricket is not only no 1 probably the only one sports doing well",good read well nation brought togeth sport similar stori nepal messi polit well function board unlik sa cricket 1 probabl one sport well,neutral
1806904173234978851,"Meet Another Young Mayor!\n\nIn our series ""My Mayor, My Concern,"" meet Bishwash Karki from Dolakha. We wish him great success in his tenure and look forward to the positive changes he will bring.\n\n#MyMayorMyConcern #youthleadership #nepalpolitics #YouthInPolitics https://t.co/wdzRPjN6QY",meet anoth young mayornnin seri mayor concern meet bishwash karki dolakha wish great success tenur look forward posit chang bringnn,positive
1806740374221668520,@KGBPurana Nepal politics more sharp than SL \nYour take ?,nepal polit sharp sl nyour take,neutral
1806722979813798261,"Meet Another Young Mayor!\n\nIn our series ""My Mayor, My Concern,"" meet Jaswant Yadav from Parsa. We wish him great success in his tenure and look forward to the positive changes he will bring.\n\n#MyMayorMyConcern #youthleadership #nepalpolitics #YouthInPolitics https://t.co/1hxELFOV4Z",meet anoth young mayornnin seri mayor concern meet jaswant yadav parsa wish great success tenur look forward posit chang bringnn,positive
1806632840077201470,"@ShahBalen ""The current political situation in Nepal is disheartening. Those who have dedicated their entire lives to the country do not receive the recognition they deserve, while those involved in politics and responsible for damaging the nation seem to receive it. ""\n It's sad to hear\xf0\x9f\x98\x94",current polit situat nepal dishearten dedic entir live countri receiv recognit deserv involv polit respons damag nation seem receiv n sad hearxf0x9fx98x94,negative
1806570136134181296,https://t.co/cJ3U8qbh4y\nSave Nepal Sovereignty \nMaoist Idea of colonization.\nFirst threaten you.\nThen invest &amp; say they are friends. \nBuy few elites/politics.\nThat\xe2\x80\x99s how imperialism works and China is doing the same in Nepal via Kerung-Kathmandu railway project.,nepal sovereignti nmaoist idea colonizationnfirst threaten younthen invest amp say friend nbuy elitespoliticsnthatxe2x80x99 imperi work china nepal via kerungkathmandu railway project,positive
1806565043598917825,"China is trying to control all the countries in Central Asia through trade. The threat from China remains. China has a great influence on politics in Nepal. Culture means food, language, dress etc. This is how #Save_Nepal_Sovereignty has been invaded. https://t.co/y71OUSnGPV",china tri control countri central asia trade threat china remain china great influenc polit nepal cultur mean food languag dress etc invad,positive
1806552008520089860,China is playing very dirty politics and Nepal's politicians must understand what China is.\nSave Nepal Sovereignty https://t.co/4e2HmAJqmg,china play dirti polit nepal politician must understand china isnsav nepal sovereignti,negative
1806546906732003516,"I was in Nepal for the first Trump/Clinton debate, and I thought: glad I can avoid this in another time zone. Eight years later I'm in Turkey saying the same thing about Trump/Biden. Such a tedious stretch of politics.",nepal first trumpclinton debat thought glad avoid anoth time zone eight year later im turkey say thing trumpbiden tediou stretch polit,positive
1806521483482828817,@NindaTurtles @PM_nepal_ Sir How can you allow this in your country?\nSir if hou don't fight this islamization now it will be very late tomorrow.\n\nThese are occupiers for your cultural identity you should forget politics otherwise this will make life of yoir own children and gen very difficult,sir allow countrynsir hou dont fight islam late tomorrownnthes occupi cultur ident forget polit otherwis make life yoir children gen difficult,negative
1806377428475916743,"Rajesh Yadav of Hindu Samrat Sena plans to submit a memorandum demanding action against the assailants. Similar renaming efforts in Jayanagar where Kadam Chowk became Madrasa Chowk add to the strife, underlining deep-seated communal issues. #Rautahat #Muslim #NepalPolitics #Islam https://t.co/5XhUY0y62g",rajesh yadav hindu samrat sena plan submit memorandum demand action assail similar renam effort jayanagar kadam chowk becam madrasa chowk add strife underlin deepseat commun issu,negative
1806353738539684076,@anilkathmandu Nepal politics has become so complicated. Citizens have to choose one spoiled apple among the bundle of spoiled apples. That\xe2\x80\x99s a hell of job.,nepal polit becom complic citizen choos one spoil appl among bundl spoil appl thatxe2x80x99 hell job,negative
1806918318256775271,"@sujeevshakya It's alarming,\n As an agriculture-based economy, Nepal should strive for self-sufficiency. This trade deficit can be reduced if we improve our agricultural productivity and reduce our dependency on imports.\n\xe0\xa4\xae \xe0\xa4\x9a\xe0\xa5\x88 \xe0\xa4\x96\xe0\xa5\x87\xe0\xa4\xa4\xe0\xa5\x80 \xe0\xa4\x97\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xa8\xe0\xa4\x81 , \xe0\xa4\x85\xe0\xa4\xb0\xe0\xa5\x82\xe0\xa4\xb2\xe0\xa5\x87 \xe0\xa4\x97\xe0\xa4\xb0\xe0\xa5\x82\xe0\xa4\xa8\xe0\xa5\x8d \xe0\xa4\x85\xe0\xa4\xa8\xe0\xa4\xbf \xe0\xa4\x98\xe0\xa4\x9f\xe0\xa4\xbe\xe0\xa4\x89\xe0\xa4\x81\xe0\xa4\x9b\xe0\xa4\xa8\xe0\xa5\x8d!",alarmingn agriculturebas economi nepal strive selfsuffici trade deficit reduc improv agricultur product reduc depend importsnxe0xa4xa xe0xa4x9axe0xa5x88 xe0xa4x96xe0xa5x87xe0xa4xa4xe0xa5x80 xe0xa4x97xe0xa4xb0xe0xa5x8dxe0xa4xa6xe0xa4xbfxe0xa4xa8xe0xa4x81 xe0xa4x85xe0xa4xb0xe0xa5x82xe0xa4xb2xe0xa5x87 xe0xa4x97xe0xa4xb0xe0xa5x82xe0xa4xa8xe0xa5x8d xe0xa4x85xe0xa4xa8xe0xa4xbf xe0xa4x98xe0xa4x9fxe0xa4xbexe0xa4x89xe0xa4x81xe0xa4x9bxe0xa4xa8xe0xa5x8d,positive
1806894530882318418,"@ShivaSubba76659 @chiran10gb @RONBupdates It\xe2\x80\x99s not about revenue bro. It\xe2\x80\x99s about how many people it will provide employment to. How many local businesses will benefit from this and its impact on local economy. Nepal ma pani cricket is generating huge revenue, players are starting to earn well.",itxe2x80x99 revenu bro itxe2x80x99 mani peopl provid employ mani local busi benefit impact local economi nepal pani cricket gener huge revenu player start earn well,positive
1806682354041208988,"IHRC Chief today meets H.E Gabriel Rasvan Toader, Former Romanian Minister of Economy alongwith the representatives of India, Philippines, Sri Lanka, Russia &amp; Nepal, who will participate in World Leaders Awards of The Business Forum Dubai from 29th-30th June 2024 at Dubai \xf0\x9f\x87\xa6\xf0\x9f\x87\xaa. https://t.co/hR8S8FJUd2",ihrc chief today meet gabriel rasvan toader former romanian minist economi alongwith repres india philippin sri lanka russia amp nepal particip world leader award busi forum dubai 29th30th june 2024 dubai xf0x9fx87xa6xf0x9fx87xaa,positive
1806678723753603281,"@thomasavie @ethNY_MU @BodegaaCat Africans &amp; Arabs helping the economy??\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 Now that's lack of self awareness.\nMost migrants in Romania are from Asia, places like Vietnam, Nepal, etc. Big difference from Maghreb &amp; Subsaharian Africa. The Asians are hard working people and we appreciate them greatly.",african amp arab help economyxf0x9fx98x82xf0x9fx98x82xf0x9fxa4xa3xf0x9fxa4xa3xf0x9fxa4xa3 that lack self awarenessnmost migrant romania asia place like vietnam nepal etc big differ maghreb amp subsaharian africa asian hard work peopl appreci greatli,positive
1806649848881439218,"In 2023, over 600K international students studied in Australia, with China leading at over 150K. Other key countries: India (19%), Nepal (10%), Colombia (5.4%), and the Philippines (5%). This boosts Australia's economy and shows its global educational appeal. #educationtrends",2023 600k intern student studi australia china lead 150k key countri india 19 nepal 10 colombia 54 philippin 5 boost australia economi show global educ appeal,positive
1806647633748148659,"From economic domination to zero-customs exploitation, China is looting Nepal. It's time to reclaim Nepal sovereignty and protect our economy! Save Nepal Sovereignty \xf0\x9f\x87\xb3\xf0\x9f\x87\xb5 https://t.co/mRG4f5ho49",econom domin zerocustom exploit china loot nepal time reclaim nepal sovereignti protect economi save nepal sovereignti xf0x9fx87xb3xf0x9fx87xb5,positive
1806614685824778663,"Nepal's future at risk? #Chinese projects face sustainability issues, raising serious concerns about #Nepal sovereignty and economy. Let's stay vigilant! Save Nepal Sovereignty \xf0\x9f\x87\xb3\xf0\x9f\x87\xb5\xe2\x9a\xa0\xef\xb8\x8f https://t.co/1sO08xZmlh",nepal futur risk project face sustain issu rais seriou concern sovereignti economi let stay vigil save nepal sovereignti xf0x9fx87xb3xf0x9fx87xb5xe2x9axa0xefxb8x8f,positive
1806578284421104069,"Stay informed with our Weekly Economic Update (June 21, 2024 - June 27, 2024)! Dive into the latest economic insights and explore the sources behind the news from https://t.co/QfRVibo8do\n\n#nepaleconomicforum #economicupdates #WEU #NEF2024 #Nepal #economy https://t.co/ooK9gyaV1n",stay inform weekli econom updat june 21 2024 june 27 2024 dive latest econom insight explor sourc behind news,neutral
1806552370329051298,Unfinished BRI projects are a burden on Nepal's economy. We must protect our sovereignty and prioritize independence!.Save Nepal Sovereignty,unfinish bri project burden nepal economi must protect sovereignti priorit independencesav nepal sovereignti,negative
1806552125545365809,"However, it's also important to consider the economic perspective. Proponents of the railway project argue that it could significantly boost Nepal's economy by improving connectivity, trade, and tourism. The development of infrastructure can lead. \nSave Nepal Sovereignty https://t.co/9p19iySyPC",howev also import consid econom perspect propon railway project argu could significantli boost nepal economi improv connect trade tourism develop infrastructur lead nsave nepal sovereignti,positive
1806528504080785903,"Excited; will present: Digital Capitalism in the Global South: The Political Economy of the National Identification System in Nepal, July 1 @ ; #IAMCR24; Digital Infrastructures, Global Power Dynamics, and Technocolonialism; @NUQatar; #IAS_NUQ https://t.co/uJWte7fhM6",excit present digit capit global south polit economi nation identif system nepal juli 1 digit infrastructur global power dynam technocoloni,positive
1806512479805096146,"Nepal economy is in ""severe distress"" &amp; ""the so-called doctors of the CPN-UML &amp; Maoist Associates,"" do not care. The good certificate must come from foreign investors. Real wages are stagnant, unemployment is rising &amp; household consumption is falling.\n@gbudhathoki @SwarnimWagle",nepal economi sever distress amp socal doctor cpnuml amp maoist associ care good certif must come foreign investor real wage stagnant unemploy rise amp household consumpt fallingn,negative
1806454703548744039,"@wazzaupppp299 @MichaelVaughan Teri Beziti tujhe satisfying lag rhi to achi baat hai \xf0\x9f\x98\x82\nAur Talwe chaattt England\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 ke \xf0\x9f\x91\xa2\xf0\x9f\x91\x88\n\nA Failure Country Nepal in IT, EDUCATION, ECONOMY, MEDICAL, MEDICINE, SPACE, INNOVATION, RESEARCH, ARTIFICIAL INTELLIGENCE, SOFTWARE, MANUFACTURING, SPORTS.. \n\nKch Sharam Ati hai ya ni?",teri beziti tujh satisfi lag rhi achi baat hai xf0x9fx98x82naur talw chaattt englandxf0x9fx87xacxf0x9fx87xa7 ke xf0x9fx91xa2xf0x9fx91x88nna failur countri nepal educ economi medic medicin space innov research artifici intellig softwar manufactur sport nnkch sharam ati hai ya ni,positive
1806329557726674991,"@Daractenus It's not a world war if NK, Iran, China, Nepal, Africa can send unrestricted materiel or brigades, while russia's economy is backed by China, India, ME and BRICS, and through Kyrgyzstan and Turkey the West).\n\nBecause Ukraine only gets some Cold War era weapons (with restrictions)",world war nk iran china nepal africa send unrestrict materiel brigad russia economi back china india bric kyrgyzstan turkey westnnbecaus ukrain get cold war era weapon restrict,negative
1806258212045467670,"@badrikc97 @Online_khabar India's actually been pushing for Nepal's development. Think about the joint hydro projects, the cross-border oil pipeline, the integrated check posts. These aren't just vanity projects; they're aimed at boosting Nepal's economy too.",india actual push nepal develop think joint hydro project crossbord oil pipelin integr check post arent vaniti project theyr aim boost nepal economi,positive
1806227930961547457,"@kesharbagale @AshishRai36 while China's offering shiny new trains that might derail Nepal's economy, India's offering a tried-and-tested friendship that's weathered centuries. After all, a friend in need is a friend indeed, and India's always been there for Nepal - through earthquakes, blockades,",china offer shini new train might derail nepal economi india offer triedandtest friendship that weather centuri friend need friend inde india alway nepal earthquak blockad,positive
1806838005694628021,India: Punjab Roadways bus drivers and conductors strike over unpaid wages\nPunjab social health workers protest in Ludhiana\nPakistan: Punjab hospital medics remain on strike over false arrest of colleagues\nNepal: Federal parliament workers strike\nhttps://t.co/8oUtkFCO3T,india punjab roadway bu driver conductor strike unpaid wagesnpunjab social health worker protest ludhiananpakistan punjab hospit medic remain strike fals arrest colleaguesnnep feder parliament worker striken,negative
1806740657022599193,"#Nepal should have not forget its Treaty signed with Independent #Tibet and protest when #China invaded its neighbour peaceful Tibet, instead of siding with #CCP and oppress Tibetans Refugees in Nepal.\nThere is still a way to reverse that disastrous policy, but it needs courage.",forget treati sign independ protest invad neighbour peac tibet instead side oppress tibetan refuge nepalnther still way revers disastr polici need courag,positive
1806644383078363157,@HaryanviBhrata It was jk though \n\nBut you will be surprised to know that people in Darjeeling did protest some decades ago to join Nepal.,jk though nnbut surpris know peopl darjeel protest decad ago join nepal,positive
1806609584917733747,"Save Nepal Sovereignty : Go Back China\nLarge numbers of protests were held in Nepal against China after Human Rights Commission reported that an allotment of the Jiujiu Village of Darchula has been occupied by #China. The discussion revolves around concerns over China's Belt and Road Initiative (BRI) and its potential impact on Nepal's sovereignty. The primary focus is on a $190 million Chinese-funded airport in Sri Lanka, which has become a symbol of the BRI's unsatisfactory performance due to its underutilization. This situation is seen as a cautionary tale for Nepal, with warnings about the dangers of Chinese investments leading to a debt trap and potential loss of sovereignty. There are also mentions of China's expansionist policies in Nepal, including territorial encroachment and the use of economic projects as tools for geopolitical control. Nepal needs to be vigilant and proactive in defending its borders and sovereignty against any foreign encroachment.",save nepal sovereignti go back chinanlarg number protest held nepal china human right commiss report allot jiujiu villag darchula occupi discuss revolv around concern china belt road initi bri potenti impact nepal sovereignti primari focu 190 million chinesefund airport sri lanka becom symbol bri unsatisfactori perform due underutil situat seen cautionari tale nepal warn danger chines invest lead debt trap potenti loss sovereignti also mention china expansionist polici nepal includ territori encroach use econom project tool geopolit control nepal need vigil proactiv defend border sovereignti foreign encroach,negative
1806569410066522349,"https://t.co/665XPFISUL\nThe West Seti Hydropower Project suffers from funding issues and local protests due to Chinese involvement, hindering Nepal's energy independence. \nSave Nepal Sovereignty",west seti hydropow project suffer fund issu local protest due chines involv hinder nepal energi independ nsave nepal sovereignti,negative
1806568638381428837,Large numbers of protests were held in Nepal against China after Human Rights Commission reported that an allotment of the Jiujiu Village of Darchula has been occupied by China.\n#NepalProtests #China #HumanRights #INDvsENG2024 #ViratKohli #RohitSharma #INDvsSA #T20WorldCupFinal https://t.co/d8hah8E8Lh,larg number protest held nepal china human right commiss report allot jiujiu villag darchula occupi chinan,negative
1806561960311574914,Save Nepal Sovereignty \nLarge numbers of protests were held in Nepal against China after Human Rights Commission reported that an allotment of the Jiujiu Village of Darchula has been occupied by China.\n@krackhauer https://t.co/EPPLnI3dc3,save nepal sovereignti nlarg number protest held nepal china human right commiss report allot jiujiu villag darchula occupi chinan,positive
1806561773686010083,Save Nepal Sovereignty \nLarge numbers of protests were held in Nepal against China after Human Rights Commission reported that an allotment of the Jiujiu Village of Darchula has been occupied by China. https://t.co/9rL6gmJcSG,save nepal sovereignti nlarg number protest held nepal china human right commiss report allot jiujiu villag darchula occupi china,positive
1806552614043316472,Large protests against China took place in Nepal after the Human Rights Commission reported that China had taken over a part of Jiujiu village in Darchula. Save Nepal Sovereignty,larg protest china took place nepal human right commiss report china taken part jiujiu villag darchula save nepal sovereignti,positive
1806552595844252111,Nepal witnessed massive protests against China after the Human Rights Commission reported that China had occupied a part of Jiujiu village in Darchula. Save Nepal Sovereignty,nepal wit massiv protest china human right commiss report china occupi part jiujiu villag darchula save nepal sovereignti,positive
1806552315996020935,"After the Human Rights Commission reported that China has occupied a part of Jiujiu village in Darchula, Nepal witnessed massive protests against China. Let's Save Nepal Sovereignty",human right commiss report china occupi part jiujiu villag darchula nepal wit massiv protest china let save nepal sovereignti,positive
1806552279228858742,"Save Nepal Sovereignty: Following China's takeover of part of Jiuzhiu Village in Dar Chula, Nepal, protests have surged against China's expansionist policies. Support Save Nepal Sovereignty to defend our land.",save nepal sovereignti follow china takeov part jiuzhiu villag dar chula nepal protest surg china expansionist polici support save nepal sovereignti defend land,positive
1806552216393888014,Save Nepal Sovereignty\nMassive protests against Chinese occupation in Nepal are significant,save nepal sovereigntynmass protest chines occup nepal signific,positive
1806552001477837300,a large number of protests took place in Nepal against China. Let's Save Nepal Sovereignty and stand against any encroachment on our country's territory.\n\nSave Nepal Sovereignty,larg number protest took place nepal china let save nepal sovereignti stand encroach countri territorynnsav nepal sovereignti,positive
1806551928442441752,Large protests against China took place in Nepal after the Human Rights Commission reported that China had taken over a part of Jiujiu village in Darchula. Let's Save Nepal Sovereignty and stand against any encroachment on our country's territory.\nSave Nepal Sovereignty,larg protest china took place nepal human right commiss report china taken part jiujiu villag darchula let save nepal sovereignti stand encroach countri territorynsav nepal sovereignti,positive
1806551886432231698,China has turned it into a game of hegemony and curse for the borrower. Gwadar and Hambantota ports of Pakistan and Sri Lanka respectively. a large number of protests took place in Nepal against China. Save Nepal Sovereignty https://t.co/Zhq2d9BDkH,china turn game hegemoni curs borrow gwadar hambantota port pakistan sri lanka respect larg number protest took place nepal china save nepal sovereignti,positive
1806540585513435439,Save Nepal Sovereignty : Go Back China\nLarge numbers of protests were held in Nepal against China after Human Rights Commission reported that an allotment of the Jiujiu Village of Darchula has been occupied by #China.\n@NavitaSrikant \n@LevinaNeythiri https://t.co/4LgveDRmhZ,save nepal sovereignti go back chinanlarg number protest held nepal china human right commiss report allot jiujiu villag darchula occupi n n,positive
1806377423895752845,"Tensions flare in #Rautahat, #Nepal as a minority #Muslim group renames a village to #IslamNagar, sparking protests from local Hindus. Clashes erupted on June 23rd, leading to Hindu youths being assaulted. Authorities are accused of favoring Muslims. #NepalNews #HindusUnderAttack https://t.co/etf3LF7OyZ",tension flare minor group renam villag spark protest local hindu clash erupt june 23rd lead hindu youth assault author accus favor muslim,negative
1806372980093554701,"@ousmannoor @CAGEintl @azadaliCCM @rabbanitweets I personally would protest of Jews had colonized Nepal or any part of India or any other Hindu country, I don't care about Palestine, Arabs or Muslims.\nThat doesn't make me White mask or wanna be British. \nYour little movement just doesn't concern us.",person would protest jew colon nepal part india hindu countri dont care palestin arab muslimsnthat doesnt make white mask wanna british nyour littl movement doesnt concern us,negative
1805999373840793728,"Come to Nepal Dr Disrespect. You will be celebrated as a hero here. People will protest for you and if none of this helps, the court will surely save you... \xf0\x9f\xa4\x90",come nepal dr disrespect celebr hero peopl protest none help court sure save xf0x9fxa4x90,positive
1805991093692936634,@BattaKashmiri Bharat would be declared as a First ever Hindu Rashtra in near future.. After the official announcement radical muslims of Bharat would protest surely.. \nAfter that Nepal and Bhutan would follow Bharat..,bharat would declar first ever hindu rashtra near futur offici announc radic muslim bharat would protest sure nafter nepal bhutan would follow bharat,positive
1805791308268945609,Women's rights activists have taken to the streets in Nepal in recent days to protest against sexual crimes in the country after a former child actor and model recently made public allegations over a\xc2\xa0rape that was committed eight years ago.,women right activist taken street nepal recent day protest sexual crime countri former child actor model recent made public alleg axc2xa0rap commit eight year ago,neutral
1803322036330156184,Federal Parliament Secretariat\xe2\x80\x99s employees were also part of the meeting. They were demonstrating in the parliament building wearing a black band.\n\n#nepalviews #nepalviewsenglish #parliament #employees #protest\n\nhttps://t.co/s6i82aLyRo,feder parliament secretariatxe2x80x99 employe also part meet demonstr parliament build wear black bandnn nn,neutral
1806668199246909486,"If a local government has directly elected seats, why not in the center? A directly elected #PrimeMinister is more accountable, to its people than, these jokers who outright came from the circus. It's not a #Democracy it's a \n#shameocracy. \n#Nepal\n#dirtypolitics \n#VotingReform",local govern directli elect seat center directli elect account peopl joker outright came circu n nn n,neutral
1806668195144818935,"Still a member from the same party is the prime minister of #Nepal, it's utter disrespect to the #votingrights of Nepali citizens. The government of (jod gahtau jokers) can never be a formidable force, and they can never grow or perform.",still member parti prime minist utter disrespect nepali citizen govern jod gahtau joker never formid forc never grow perform,negative
1806660363997594087,"#VacancyAnnoucement:\nUSAID/Nepal is looking to hire a Development Outreach and Communications (DOC) Assistant - Digital Content. \nFor more information: https://t.co/vOUgJCyRJ9\n\nNote: Previous experience with the U.S. Government, USAID or on a USAID project is not required. https://t.co/X8Nl6htSyS",nusaidnep look hire develop outreach commun doc assist digit content nfor inform previou experi us govern usaid usaid project requir,positive
